system,case_id,case_dir,rc_service,fault_type,n_services,naive_rank,Random_rank,BARO_rank,BARO_nsvc,BARO_secs,nsigma_rank,nsigma_nsvc,nsigma_secs,e_diagnosis_rank,e_diagnosis_nsvc,e_diagnosis_secs,CIRCA_rank,CIRCA_nsvc,CIRCA_secs,RCD_rank,RCD_err,RCD_secs
OB,OB/productcatalogservice_loss/1,/home/user/data/RE2/RE2-OB/productcatalogservice_loss/1,productcatalogservice,loss,10,1,6,1,10,0.05,1,10,0.05,,2,1.82,8,10,0.02,,"ValueError('Input X contains NaN.\nKBinsDiscretizer does not accept missing values encoded as NaN natively. For supervised learning, you might want to",0.03
OB,OB/productcatalogservice_loss/2,/home/user/data/RE2/RE2-OB/productcatalogservice_loss/2,productcatalogservice,loss,10,1,8,1,10,0.05,1,10,0.05,3.0,3,1.73,8,10,0.02,,"ValueError('Input X contains NaN.\nKBinsDiscretizer does not accept missing values encoded as NaN natively. For supervised learning, you might want to",0.03
OB,OB/productcatalogservice_loss/3,/home/user/data/RE2/RE2-OB/productcatalogservice_loss/3,productcatalogservice,loss,10,2,2,1,10,0.05,1,10,0.05,2.0,2,1.85,8,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.54
OB,OB/productcatalogservice_mem/1,/home/user/data/RE2/RE2-OB/productcatalogservice_mem/1,productcatalogservice,mem,10,1,1,1,10,0.05,1,10,0.05,,3,1.68,2,10,16.19,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.71
OB,OB/productcatalogservice_mem/2,/home/user/data/RE2/RE2-OB/productcatalogservice_mem/2,productcatalogservice,mem,10,2,8,2,10,0.05,2,10,0.05,,3,1.75,8,10,0.03,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.96
OB,OB/productcatalogservice_mem/3,/home/user/data/RE2/RE2-OB/productcatalogservice_mem/3,productcatalogservice,mem,10,2,7,1,10,0.05,1,10,0.05,2.0,3,1.69,8,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.65
OB,OB/productcatalogservice_socket/1,/home/user/data/RE2/RE2-OB/productcatalogservice_socket/1,productcatalogservice,socket,10,1,7,1,10,0.05,1,10,0.05,,3,1.74,8,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.63
OB,OB/productcatalogservice_socket/2,/home/user/data/RE2/RE2-OB/productcatalogservice_socket/2,productcatalogservice,socket,10,1,4,1,10,0.05,1,10,0.05,,3,1.84,8,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.5
OB,OB/productcatalogservice_socket/3,/home/user/data/RE2/RE2-OB/productcatalogservice_socket/3,productcatalogservice,socket,10,1,9,1,10,0.05,1,10,0.05,3.0,3,1.72,8,10,0.02,,"ValueError('Input X contains NaN.\nKBinsDiscretizer does not accept missing values encoded as NaN natively. For supervised learning, you might want to",0.03
OB,OB/recommendationservice_cpu/1,/home/user/data/RE2/RE2-OB/recommendationservice_cpu/1,recommendationservice,cpu,10,1,9,1,10,0.05,1,10,0.05,,3,1.69,9,10,0.22,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.49
