system,case_id,case_dir,rc_service,fault_type,cell_id,seed,n_nodes_secondary,n_isolated_added,rc_in_candidates,naive_rank,n_components,max_mcse,S_graph_comp_rank,S_graph_node_rank,S_graph_rc_comp_size,S_full_comp_rank,S_full_node_rank,S_full_rc_comp_size,secs
OB,OB/emailservice_disk/1,/home/user/data/RE2/RE2-OB/emailservice_disk/1,emailservice,disk,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,465472112,7,0,True,1,7,0.0011111462049950944,2.0,2.0,1.0,1,1,1,2.33
OB,OB/emailservice_disk/2,/home/user/data/RE2/RE2-OB/emailservice_disk/2,emailservice,disk,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,1389299256,7,0,True,1,7,0.0011117589441960879,1.0,1.0,1.0,1,1,1,2.56
OB,OB/emailservice_disk/3,/home/user/data/RE2/RE2-OB/emailservice_disk/3,emailservice,disk,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,1056677076,7,0,True,1,7,0.001111549030351338,1.0,1.0,1.0,1,1,1,2.09
OB,OB/emailservice_loss/1,/home/user/data/RE2/RE2-OB/emailservice_loss/1,emailservice,loss,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,1296668971,7,0,True,1,7,0.0011117363220993547,1.0,1.0,1.0,1,1,1,2.27
OB,OB/emailservice_loss/2,/home/user/data/RE2/RE2-OB/emailservice_loss/2,emailservice,loss,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,1916210638,7,0,True,1,7,0.0011116694076365508,1.0,1.0,1.0,1,1,1,2.78
OB,OB/emailservice_loss/3,/home/user/data/RE2/RE2-OB/emailservice_loss/3,emailservice,loss,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,1858225622,7,0,True,1,7,0.0011116957379944388,1.0,1.0,1.0,1,1,1,2.96
OB,OB/emailservice_mem/1,/home/user/data/RE2/RE2-OB/emailservice_mem/1,emailservice,mem,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,1496905993,7,0,True,1,7,0.001111351604522619,1.0,1.0,1.0,1,1,1,2.88
OB,OB/emailservice_mem/2,/home/user/data/RE2/RE2-OB/emailservice_mem/2,emailservice,mem,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,3809520668,7,0,True,1,7,0.0011118961678142434,1.0,1.0,1.0,1,1,1,2.88
OB,OB/emailservice_mem/3,/home/user/data/RE2/RE2-OB/emailservice_mem/3,emailservice,mem,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,4286064765,7,0,True,1,7,0.001111167384105563,1.0,1.0,1.0,1,1,1,2.23
OB,OB/emailservice_socket/1,/home/user/data/RE2/RE2-OB/emailservice_socket/1,emailservice,socket,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,439539372,7,0,True,1,7,0.001111447034219355,1.0,1.0,1.0,1,1,1,2.37
OB,OB/emailservice_socket/2,/home/user/data/RE2/RE2-OB/emailservice_socket/2,emailservice,socket,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,1250175345,7,0,True,1,7,0.0011114506907641023,2.0,2.0,1.0,1,1,1,2.61
OB,OB/emailservice_socket/3,/home/user/data/RE2/RE2-OB/emailservice_socket/3,emailservice,socket,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,2772550484,7,0,True,1,7,0.0011117184335523091,4.0,4.0,1.0,3,3,1,2.42
OB,OB/productcatalogservice_cpu/1,/home/user/data/RE2/RE2-OB/productcatalogservice_cpu/1,productcatalogservice,cpu,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,1501614757,7,0,True,1,7,0.0011113847162436596,2.0,2.0,1.0,1,1,1,2.34
OB,OB/productcatalogservice_cpu/2,/home/user/data/RE2/RE2-OB/productcatalogservice_cpu/2,productcatalogservice,cpu,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,2402438918,7,0,True,1,7,0.0011117553750151156,1.0,1.0,1.0,1,1,1,2.41
OB,OB/productcatalogservice_cpu/3,/home/user/data/RE2/RE2-OB/productcatalogservice_cpu/3,productcatalogservice,cpu,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,1453097159,7,0,True,1,7,0.0011114299568011471,1.0,1.0,1.0,1,1,1,2.53
OB,OB/productcatalogservice_delay/1,/home/user/data/RE2/RE2-OB/productcatalogservice_delay/1,productcatalogservice,delay,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,2622346072,7,0,True,1,7,0.0011113221022165446,1.0,1.0,1.0,1,1,1,2.58
OB,OB/productcatalogservice_delay/2,/home/user/data/RE2/RE2-OB/productcatalogservice_delay/2,productcatalogservice,delay,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,3359912550,7,0,True,1,7,0.001111412857076523,1.0,1.0,1.0,1,1,1,2.25
