system,case_id,case_dir,rc_service,fault_type,param_a,param_b,param_p_base,param_p_shared,cell_id,n_sim,seed,n_spans,traced_services,n_nodes,n_edges,acyclic,shared,inject_time,n_observed_services,rc_in_graph,naive_rank,n_components,condensation_nontrivial,max_mcse,S_graph_comp_rank,S_graph_comp_tie,S_graph_node_rank,S_graph_rc_comp_size,S_graph_nodes_tied,S_graph_exp_rank_random,S_full_comp_rank,S_full_comp_tie,S_full_node_rank,S_full_rc_comp_size,S_full_nodes_tied,S_full_exp_rank_random,S_graph_meanagg_comp_rank,S_graph_meanagg_comp_tie,S_graph_meanagg_node_rank,S_graph_meanagg_rc_comp_size,S_graph_meanagg_nodes_tied,S_graph_meanagg_exp_rank_random,secs
OB,OB/currencyservice_mem/1,/home/user/data/RE2/RE2-OB/currencyservice_mem/1,currencyservice,mem,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,2466614405,379084,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705464519,10,True,1,7,0,0.001115460557292368,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1.81
OB,OB/currencyservice_mem/2,/home/user/data/RE2/RE2-OB/currencyservice_mem/2,currencyservice,mem,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,592353461,387124,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705749889,10,True,1,7,0,0.0011154147613668202,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1.88
OB,OB/currencyservice_mem/3,/home/user/data/RE2/RE2-OB/currencyservice_mem/3,currencyservice,mem,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,2340433303,385054,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705690057,10,True,1,7,0,0.0011154483846754183,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1.76
OB,OB/currencyservice_socket/1,/home/user/data/RE2/RE2-OB/currencyservice_socket/1,currencyservice,socket,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,3533819976,406431,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705479661,10,True,3,7,0,0.0011154285427023105,4,1,4,1,1,4.0,3,1,3,1,1,3.0,4,1,4,1,1,4.0,1.95
OB,OB/currencyservice_socket/2,/home/user/data/RE2/RE2-OB/currencyservice_socket/2,currencyservice,socket,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,1762310645,399964,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705697241,10,True,4,7,0,0.0011154139946674508,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1.98
OB,OB/currencyservice_socket/3,/home/user/data/RE2/RE2-OB/currencyservice_socket/3,currencyservice,socket,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,2308012654,398334,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705699619,10,True,3,7,0,0.001115612495224036,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1.96
OB,OB/emailservice_cpu/1,/home/user/data/RE2/RE2-OB/emailservice_cpu/1,emailservice,cpu,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,2683678652,392420,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705350165,10,True,1,7,0,0.0011153693334496873,4,1,4,1,1,4.0,3,1,3,1,1,3.0,4,1,4,1,1,4.0,2.08
OB,OB/emailservice_cpu/2,/home/user/data/RE2/RE2-OB/emailservice_cpu/2,emailservice,cpu,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,363512954,410139,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705592998,10,True,1,7,0,0.0011152504929386941,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,2.03
OB,OB/emailservice_cpu/3,/home/user/data/RE2/RE2-OB/emailservice_cpu/3,emailservice,cpu,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,938577560,412741,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705595469,10,True,1,7,0,0.0011153970987948642,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,2.05
OB,OB/emailservice_delay/1,/home/user/data/RE2/RE2-OB/emailservice_delay/1,emailservice,delay,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,2711167132,406121,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705733346,10,True,1,7,0,0.0011153855476358835,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1.92
OB,OB/emailservice_delay/2,/home/user/data/RE2/RE2-OB/emailservice_delay/2,emailservice,delay,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,1233968272,406019,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705735702,10,True,1,7,0,0.0011153786047795608,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,2.12
OB,OB/emailservice_delay/3,/home/user/data/RE2/RE2-OB/emailservice_delay/3,emailservice,delay,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,3117244926,407306,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705738059,10,True,1,7,0,0.0011154597973481609,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,2.2
