system,case_id,case_dir,rc_service,fault_type,ediag_unc_rank,ediag_unc_nsvc,ediag_unc_ncols_ranked,n_candidate_cols,secs
OB,OB/recommendationservice_mem/3,/home/user/data/RE2/RE2-OB/recommendationservice_mem/3,recommendationservice,mem,4.0,10,32,55,1.98
OB,OB/recommendationservice_socket/1,/home/user/data/RE2/RE2-OB/recommendationservice_socket/1,recommendationservice,socket,2.0,10,29,55,1.9
OB,OB/recommendationservice_socket/2,/home/user/data/RE2/RE2-OB/recommendationservice_socket/2,recommendationservice,socket,4.0,10,27,55,1.86
OB,OB/recommendationservice_socket/3,/home/user/data/RE2/RE2-OB/recommendationservice_socket/3,recommendationservice,socket,7.0,9,29,55,1.92
TT,TT/ts-auth-service_cpu/1,/home/user/data/RE2/RE2-TT/ts-auth-service_cpu/1,ts-auth-service,cpu,20.0,28,189,315,11.42
TT,TT/ts-auth-service_cpu/2,/home/user/data/RE2/RE2-TT/ts-auth-service_cpu/2,ts-auth-service,cpu,22.0,28,191,324,11.91
TT,TT/ts-auth-service_cpu/3,/home/user/data/RE2/RE2-TT/ts-auth-service_cpu/3,ts-auth-service,cpu,27.0,28,198,315,11.82
TT,TT/ts-auth-service_delay/1,/home/user/data/RE2/RE2-TT/ts-auth-service_delay/1,ts-auth-service,delay,22.0,28,180,315,11.19
TT,TT/ts-auth-service_delay/2,/home/user/data/RE2/RE2-TT/ts-auth-service_delay/2,ts-auth-service,delay,15.0,28,201,317,11.09
TT,TT/ts-auth-service_delay/3,/home/user/data/RE2/RE2-TT/ts-auth-service_delay/3,ts-auth-service,delay,8.0,28,172,316,11.36
TT,TT/ts-auth-service_disk/1,/home/user/data/RE2/RE2-TT/ts-auth-service_disk/1,ts-auth-service,disk,15.0,28,177,315,11.5
TT,TT/ts-auth-service_disk/2,/home/user/data/RE2/RE2-TT/ts-auth-service_disk/2,ts-auth-service,disk,23.0,28,198,313,11.27
TT,TT/ts-auth-service_disk/3,/home/user/data/RE2/RE2-TT/ts-auth-service_disk/3,ts-auth-service,disk,23.0,28,183,317,11.14
TT,TT/ts-auth-service_loss/1,/home/user/data/RE2/RE2-TT/ts-auth-service_loss/1,ts-auth-service,loss,4.0,28,174,315,10.86
TT,TT/ts-auth-service_loss/2,/home/user/data/RE2/RE2-TT/ts-auth-service_loss/2,ts-auth-service,loss,24.0,28,189,317,10.82
TT,TT/ts-auth-service_loss/3,/home/user/data/RE2/RE2-TT/ts-auth-service_loss/3,ts-auth-service,loss,20.0,28,195,316,11.25
TT,TT/ts-auth-service_mem/1,/home/user/data/RE2/RE2-TT/ts-auth-service_mem/1,ts-auth-service,mem,19.0,28,179,313,10.92
TT,TT/ts-auth-service_mem/2,/home/user/data/RE2/RE2-TT/ts-auth-service_mem/2,ts-auth-service,mem,16.0,28,180,320,10.89
TT,TT/ts-auth-service_mem/3,/home/user/data/RE2/RE2-TT/ts-auth-service_mem/3,ts-auth-service,mem,21.0,28,183,317,10.77
TT,TT/ts-auth-service_socket/1,/home/user/data/RE2/RE2-TT/ts-auth-service_socket/1,ts-auth-service,socket,21.0,28,188,314,11.14
TT,TT/ts-auth-service_socket/2,/home/user/data/RE2/RE2-TT/ts-auth-service_socket/2,ts-auth-service,socket,16.0,28,171,313,10.98
TT,TT/ts-auth-service_socket/3,/home/user/data/RE2/RE2-TT/ts-auth-service_socket/3,ts-auth-service,socket,20.0,28,188,317,11.41
TT,TT/ts-order-service_cpu/1,/home/user/data/RE2/RE2-TT/ts-order-service_cpu/1,ts-order-service,cpu,19.0,28,179,318,11.28
TT,TT/ts-order-service_cpu/2,/home/user/data/RE2/RE2-TT/ts-order-service_cpu/2,ts-order-service,cpu,23.0,28,176,316,11.39
TT,TT/ts-order-service_cpu/3,/home/user/data/RE2/RE2-TT/ts-order-service_cpu/3,ts-order-service,cpu,19.0,28,196,315,10.51
TT,TT/ts-order-service_delay/1,/home/user/data/RE2/RE2-TT/ts-order-service_delay/1,ts-order-service,delay,2.0,28,185,314,11.11
TT,TT/ts-order-service_delay/2,/home/user/data/RE2/RE2-TT/ts-order-service_delay/2,ts-order-service,delay,15.0,22,186,298,10.17
TT,TT/ts-order-service_delay/3,/home/user/data/RE2/RE2-TT/ts-order-service_delay/3,ts-order-service,delay,15.0,22,196,297,10.04
TT,TT/ts-order-service_disk/1,/home/user/data/RE2/RE2-TT/ts-order-service_disk/1,ts-order-service,disk,10.0,28,171,318,11.26
TT,TT/ts-order-service_disk/2,/home/user/data/RE2/RE2-TT/ts-order-service_disk/2,ts-order-service,disk,8.0,22,189,298,9.84
TT,TT/ts-order-service_disk/3,/home/user/data/RE2/RE2-TT/ts-order-service_disk/3,ts-order-service,disk,15.0,22,176,300,10.01
TT,TT/ts-order-service_loss/1,/home/user/data/RE2/RE2-TT/ts-order-service_loss/1,ts-order-service,loss,4.0,28,183,318,10.7
TT,TT/ts-order-service_loss/2,/home/user/data/RE2/RE2-TT/ts-order-service_loss/2,ts-order-service,loss,20.0,22,192,298,9.84
TT,TT/ts-order-service_loss/3,/home/user/data/RE2/RE2-TT/ts-order-service_loss/3,ts-order-service,loss,17.0,22,173,296,9.99
TT,TT/ts-order-service_mem/1,/home/user/data/RE2/RE2-TT/ts-order-service_mem/1,ts-order-service,mem,14.0,28,193,320,10.46
TT,TT/ts-order-service_mem/2,/home/user/data/RE2/RE2-TT/ts-order-service_mem/2,ts-order-service,mem,12.0,28,194,317,11.03
TT,TT/ts-order-service_mem/3,/home/user/data/RE2/RE2-TT/ts-order-service_mem/3,ts-order-service,mem,16.0,28,187,317,10.82
TT,TT/ts-order-service_socket/1,/home/user/data/RE2/RE2-TT/ts-order-service_socket/1,ts-order-service,socket,7.0,28,186,314,10.66
TT,TT/ts-order-service_socket/2,/home/user/data/RE2/RE2-TT/ts-order-service_socket/2,ts-order-service,socket,1.0,22,185,298,10.2
TT,TT/ts-order-service_socket/3,/home/user/data/RE2/RE2-TT/ts-order-service_socket/3,ts-order-service,socket,19.0,28,183,314,11.04
TT,TT/ts-route-service_cpu/1,/home/user/data/RE2/RE2-TT/ts-route-service_cpu/1,ts-route-service,cpu,20.0,28,166,320,11.49
TT,TT/ts-route-service_cpu/2,/home/user/data/RE2/RE2-TT/ts-route-service_cpu/2,ts-route-service,cpu,17.0,22,191,296,10.78
TT,TT/ts-route-service_cpu/3,/home/user/data/RE2/RE2-TT/ts-route-service_cpu/3,ts-route-service,cpu,15.0,22,172,298,10.3
TT,TT/ts-route-service_delay/1,/home/user/data/RE2/RE2-TT/ts-route-service_delay/1,ts-route-service,delay,22.0,28,192,316,10.68
TT,TT/ts-route-service_delay/2,/home/user/data/RE2/RE2-TT/ts-route-service_delay/2,ts-route-service,delay,6.0,28,176,314,10.26
TT,TT/ts-route-service_delay/3,/home/user/data/RE2/RE2-TT/ts-route-service_delay/3,ts-route-service,delay,10.0,28,192,316,11.27
TT,TT/ts-route-service_disk/1,/home/user/data/RE2/RE2-TT/ts-route-service_disk/1,ts-route-service,disk,6.0,28,170,317,10.87
TT,TT/ts-route-service_disk/2,/home/user/data/RE2/RE2-TT/ts-route-service_disk/2,ts-route-service,disk,19.0,28,194,315,10.34
TT,TT/ts-route-service_disk/3,/home/user/data/RE2/RE2-TT/ts-route-service_disk/3,ts-route-service,disk,20.0,28,191,317,11.15
TT,TT/ts-route-service_loss/1,/home/user/data/RE2/RE2-TT/ts-route-service_loss/1,ts-route-service,loss,2.0,28,191,314,10.69
TT,TT/ts-route-service_loss/2,/home/user/data/RE2/RE2-TT/ts-route-service_loss/2,ts-route-service,loss,19.0,28,184,314,11.12
TT,TT/ts-route-service_loss/3,/home/user/data/RE2/RE2-TT/ts-route-service_loss/3,ts-route-service,loss,15.0,28,189,317,11.37
TT,TT/ts-route-service_mem/1,/home/user/data/RE2/RE2-TT/ts-route-service_mem/1,ts-route-service,mem,21.0,28,180,327,11.27
TT,TT/ts-route-service_mem/2,/home/user/data/RE2/RE2-TT/ts-route-service_mem/2,ts-route-service,mem,23.0,28,194,320,11.55
TT,TT/ts-route-service_mem/3,/home/user/data/RE2/RE2-TT/ts-route-service_mem/3,ts-route-service,mem,19.0,28,188,317,10.98
TT,TT/ts-route-service_socket/1,/home/user/data/RE2/RE2-TT/ts-route-service_socket/1,ts-route-service,socket,4.0,28,188,316,11.01
TT,TT/ts-route-service_socket/2,/home/user/data/RE2/RE2-TT/ts-route-service_socket/2,ts-route-service,socket,20.0,28,195,316,10.77
TT,TT/ts-route-service_socket/3,/home/user/data/RE2/RE2-TT/ts-route-service_socket/3,ts-route-service,socket,25.0,28,214,316,10.37
TT,TT/ts-train-service_cpu/1,/home/user/data/RE2/RE2-TT/ts-train-service_cpu/1,ts-train-service,cpu,24.0,28,168,319,11.24
TT,TT/ts-train-service_cpu/2,/home/user/data/RE2/RE2-TT/ts-train-service_cpu/2,ts-train-service,cpu,20.0,28,195,319,11.73
TT,TT/ts-train-service_cpu/3,/home/user/data/RE2/RE2-TT/ts-train-service_cpu/3,ts-train-service,cpu,22.0,28,194,317,11.27
TT,TT/ts-train-service_delay/1,/home/user/data/RE2/RE2-TT/ts-train-service_delay/1,ts-train-service,delay,15.0,28,185,317,10.55
TT,TT/ts-train-service_delay/2,/home/user/data/RE2/RE2-TT/ts-train-service_delay/2,ts-train-service,delay,22.0,28,204,318,11.28
TT,TT/ts-train-service_delay/3,/home/user/data/RE2/RE2-TT/ts-train-service_delay/3,ts-train-service,delay,18.0,27,192,317,10.46
TT,TT/ts-train-service_disk/1,/home/user/data/RE2/RE2-TT/ts-train-service_disk/1,ts-train-service,disk,15.0,28,181,316,10.69
TT,TT/ts-train-service_disk/2,/home/user/data/RE2/RE2-TT/ts-train-service_disk/2,ts-train-service,disk,14.0,28,183,316,10.76
TT,TT/ts-train-service_disk/3,/home/user/data/RE2/RE2-TT/ts-train-service_disk/3,ts-train-service,disk,18.0,28,179,319,11.01
TT,TT/ts-train-service_loss/1,/home/user/data/RE2/RE2-TT/ts-train-service_loss/1,ts-train-service,loss,24.0,28,192,319,10.65
TT,TT/ts-train-service_loss/2,/home/user/data/RE2/RE2-TT/ts-train-service_loss/2,ts-train-service,loss,12.0,28,186,320,11.0
TT,TT/ts-train-service_loss/3,/home/user/data/RE2/RE2-TT/ts-train-service_loss/3,ts-train-service,loss,27.0,28,198,316,10.79
TT,TT/ts-train-service_mem/1,/home/user/data/RE2/RE2-TT/ts-train-service_mem/1,ts-train-service,mem,9.0,28,192,317,10.84
TT,TT/ts-train-service_mem/2,/home/user/data/RE2/RE2-TT/ts-train-service_mem/2,ts-train-service,mem,18.0,28,187,320,10.14
TT,TT/ts-train-service_mem/3,/home/user/data/RE2/RE2-TT/ts-train-service_mem/3,ts-train-service,mem,13.0,28,190,316,10.74
